tweet_id,retweet,text,source,screen_name,name,location,description,followers,following,created_at,created_at_seconds,hashtag1,hashtag2,url1,url2,mention1,mention2,lat,lon
251027754143870976,251025986014044161,@jtlovell1979 Lovely story of the family from Uganda.,web,nicky_t,Nicky T,Here and there.....,"Shopgirl and mannequin wrestler. I have a cunning plan and a eleventybillion dreams.....

",1150,1239,Sat Mar 01 19:48:25 +0000 2008,1348699055.0,,,,,jtlovell1979,,,
251027791838052352,,"WHO WILL ATTEND &amp; WHO WILL NOT ATTEND 
The Uganda Cranes Vs Zambia's Chipolopolo to AFCON 2013 on Saturday, 13... http://t.co/V4BZaK9S","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",kampalanitelife,Kampalanightlife,United States,,31,134,Sun May 09 11:16:22 +0000 2010,1348699064.0,,,http://t.co/V4BZaK9S,,,,,
251027830958338049,,My Dinner #Africa #Uganda #Happiness  http://t.co/nDbI2do2,"<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>",SheilahGashumba,Sheilah Gashumba ★★★,"Kampala,Uganda","An Only Daughter,Stylist,TV Presenter Of The Best Teens Show In Uganda(T-Nation)On Ntv,COMMERCIAL MODEL FOR JORAM MODEL MANAGMENT.For Bookings Call 256782625769",622,270,Mon Dec 21 08:59:14 +0000 2009,1348699073.0,Africa,Uganda,http://t.co/nDbI2do2,,,,,
251027841221799936,251027403105775617,RT @lilbluelephant: Well done #oneshow. Great article re:Indian migration from Uganda to UK in 1972. Important time in our history.,web,HistoryNeedsYou,Matthew Ward,@HistoryNeedsYou follows you,"Historian, #twitterstorian & actor. Bringing #history & #heritage to life. Edutaining the nation at museums, on TV & on Radio.
Currently on furlough.",8547,1889,Wed Dec 22 12:05:25 +0000 2010,1348699075.0,oneshow,,,,lilbluelephant,,,
